sampleTime,name,value
1999/10/22,gamma-Hexachlorocyclohexane,0.33
1999/11/20,gamma-Hexachlorocyclohexane,0.13
1999/12/10,gamma-Hexachlorocyclohexane,0.17
2000/1/15,gamma-Hexachlorocyclohexane,0.04
2000/2/19,gamma-Hexachlorocyclohexane,0.02
2000/3/19,gamma-Hexachlorocyclohexane,0.01
2000/4/29,gamma-Hexachlorocyclohexane,0.08
2000/5/27,gamma-Hexachlorocyclohexane,0.01
2000/6/26,gamma-Hexachlorocyclohexane,0.12
2001/1/17,gamma-Hexachlorocyclohexane,0.04
2001/2/18,gamma-Hexachlorocyclohexane,0.05
2001/3/31,gamma-Hexachlorocyclohexane,0.43
2001/4/29,gamma-Hexachlorocyclohexane,0.1
2001/5/28,gamma-Hexachlorocyclohexane,0.04
2001/6/21,gamma-Hexachlorocyclohexane,0.03
2001/8/28,gamma-Hexachlorocyclohexane,0.006
2001/11/18,gamma-Hexachlorocyclohexane,0.03
2002/3/29,gamma-Hexachlorocyclohexane,0.01
2002/4/20,gamma-Hexachlorocyclohexane,0.01
2002/5/18,gamma-Hexachlorocyclohexane,0.01
2002/6/22,gamma-Hexachlorocyclohexane,0.04
2002/10/15,gamma-Hexachlorocyclohexane,0.09
2002/10/26,gamma-Hexachlorocyclohexane,0
2003/1/24,gamma-Hexachlorocyclohexane,0.019
2003/2/28,gamma-Hexachlorocyclohexane,0.027
2003/3/30,gamma-Hexachlorocyclohexane,0.004
2003/8/15,gamma-Hexachlorocyclohexane,0.001
2004/1/23,gamma-Hexachlorocyclohexane,0
2004/5/30,gamma-Hexachlorocyclohexane,0.036
2004/6/19,gamma-Hexachlorocyclohexane,0.13
2004/7/2,gamma-Hexachlorocyclohexane,0.05
2004/8/14,gamma-Hexachlorocyclohexane,0.021
2004/9/4,gamma-Hexachlorocyclohexane,0.036
2004/10/21,gamma-Hexachlorocyclohexane,0.036
2004/11/6,gamma-Hexachlorocyclohexane,0.032
2005/1/22,gamma-Hexachlorocyclohexane,0.059
2005/2/20,gamma-Hexachlorocyclohexane,0.073
2005/3/24,gamma-Hexachlorocyclohexane,0.08
2005/4/24,gamma-Hexachlorocyclohexane,0.13
2005/5/29,gamma-Hexachlorocyclohexane,0.04
2005/6/21,gamma-Hexachlorocyclohexane,0.354
2005/7/24,gamma-Hexachlorocyclohexane,0.164
2005/8/26,gamma-Hexachlorocyclohexane,0.074
2005/9/24,gamma-Hexachlorocyclohexane,0.064
2005/10/23,gamma-Hexachlorocyclohexane,0.097
2005/11/24,gamma-Hexachlorocyclohexane,0.099
2005/12/22,gamma-Hexachlorocyclohexane,0.128
2006/1/28,gamma-Hexachlorocyclohexane,0.088
2006/2/25,gamma-Hexachlorocyclohexane,0.034
2006/3/23,gamma-Hexachlorocyclohexane,0.008
2006/4/27,gamma-Hexachlorocyclohexane,0.032
2006/6/25,gamma-Hexachlorocyclohexane,0.005
2006/7/16,gamma-Hexachlorocyclohexane,0.009
2006/8/13,gamma-Hexachlorocyclohexane,0.005
2006/9/22,gamma-Hexachlorocyclohexane,0.01
2006/10/6,gamma-Hexachlorocyclohexane,0.05
2006/11/22,gamma-Hexachlorocyclohexane,0.018
2006/12/13,gamma-Hexachlorocyclohexane,0.053
2007/1/24,gamma-Hexachlorocyclohexane,0.01
2007/2/22,gamma-Hexachlorocyclohexane,0.005
2007/3/28,gamma-Hexachlorocyclohexane,0.009
2007/4/20,gamma-Hexachlorocyclohexane,0.005
2007/5/26,gamma-Hexachlorocyclohexane,0.005
2007/6/23,gamma-Hexachlorocyclohexane,0.005
2007/7/25,gamma-Hexachlorocyclohexane,0.039
2007/8/25,gamma-Hexachlorocyclohexane,0.006
2007/9/29,gamma-Hexachlorocyclohexane,0.008
2007/10/26,gamma-Hexachlorocyclohexane,0.011
2007/11/28,gamma-Hexachlorocyclohexane,0.006
2007/12/22,gamma-Hexachlorocyclohexane,0.006
2008/5/30,gamma-Hexachlorocyclohexane,0.04
2008/6/26,gamma-Hexachlorocyclohexane,0.04
2008/7/12,gamma-Hexachlorocyclohexane,0.04
2008/8/11,gamma-Hexachlorocyclohexane,0.04
2008/9/21,gamma-Hexachlorocyclohexane,0.04
2008/10/19,gamma-Hexachlorocyclohexane,0.04
2008/11/17,gamma-Hexachlorocyclohexane,0.04
2008/12/5,gamma-Hexachlorocyclohexane,0.04
2008/12/15,gamma-Hexachlorocyclohexane,0.04
2009/1/24,gamma-Hexachlorocyclohexane,0.01
2009/2/14,gamma-Hexachlorocyclohexane,0.01
2009/3/27,gamma-Hexachlorocyclohexane,0.01
2009/4/25,gamma-Hexachlorocyclohexane,0.01
2009/5/25,gamma-Hexachlorocyclohexane,0.01
2009/6/28,gamma-Hexachlorocyclohexane,0.02
2009/7/26,gamma-Hexachlorocyclohexane,0.01
2009/8/28,gamma-Hexachlorocyclohexane,0.01
2009/9/25,gamma-Hexachlorocyclohexane,0.04
2009/10/30,gamma-Hexachlorocyclohexane,0.04
2010/1/24,gamma-Hexachlorocyclohexane,0.05
2010/2/14,gamma-Hexachlorocyclohexane,0.05
2010/3/20,gamma-Hexachlorocyclohexane,0.05
2010/4/18,gamma-Hexachlorocyclohexane,0.05
2010/5/22,gamma-Hexachlorocyclohexane,0.05
2010/6/13,gamma-Hexachlorocyclohexane,0.05
2010/7/22,gamma-Hexachlorocyclohexane,0.05
2010/8/28,gamma-Hexachlorocyclohexane,0.05
2010/9/30,gamma-Hexachlorocyclohexane,0.05
2010/10/29,gamma-Hexachlorocyclohexane,0.05
2010/11/27,gamma-Hexachlorocyclohexane,0.05
2010/12/9,gamma-Hexachlorocyclohexane,0.05
2012/2/18,gamma-Hexachlorocyclohexane,0
2013/2/16,gamma-Hexachlorocyclohexane,0
2013/3/24,gamma-Hexachlorocyclohexane,0
2013/8/8,gamma-Hexachlorocyclohexane,0
2013/9/26,gamma-Hexachlorocyclohexane,0
2013/11/17,gamma-Hexachlorocyclohexane,0
2013/12/9,gamma-Hexachlorocyclohexane,0
2014/1/24,gamma-Hexachlorocyclohexane,0
2014/3/12,gamma-Hexachlorocyclohexane,0
2014/3/15,gamma-Hexachlorocyclohexane,0
2014/4/18,gamma-Hexachlorocyclohexane,0
2014/5/14,gamma-Hexachlorocyclohexane,0
2014/6/5,gamma-Hexachlorocyclohexane,0
2014/8/9,gamma-Hexachlorocyclohexane,0
2014/9/18,gamma-Hexachlorocyclohexane,0
2014/10/10,gamma-Hexachlorocyclohexane,0
2014/11/2,gamma-Hexachlorocyclohexane,0
2014/12/6,gamma-Hexachlorocyclohexane,0
2015/1/16,gamma-Hexachlorocyclohexane,0
2015/3/15,gamma-Hexachlorocyclohexane,0
2015/4/10,gamma-Hexachlorocyclohexane,0
2015/5/10,gamma-Hexachlorocyclohexane,0
2015/6/6,gamma-Hexachlorocyclohexane,0
2015/7/12,gamma-Hexachlorocyclohexane,0
2015/9/9,gamma-Hexachlorocyclohexane,0
2015/9/22,gamma-Hexachlorocyclohexane,0
2015/10/8,gamma-Hexachlorocyclohexane,0
2015/11/11,gamma-Hexachlorocyclohexane,0
2015/12/9,gamma-Hexachlorocyclohexane,0
2016/1/14,gamma-Hexachlorocyclohexane,0
2016/2/6,gamma-Hexachlorocyclohexane,0
2016/3/11,gamma-Hexachlorocyclohexane,0
2016/4/8,gamma-Hexachlorocyclohexane,0
2016/5/14,gamma-Hexachlorocyclohexane,0
2016/6/16,gamma-Hexachlorocyclohexane,0
2016/7/14,gamma-Hexachlorocyclohexane,0
2016/8/11,gamma-Hexachlorocyclohexane,0
2016/9/9,gamma-Hexachlorocyclohexane,0
2016/10/15,gamma-Hexachlorocyclohexane,0
2016/11/12,gamma-Hexachlorocyclohexane,0
2016/12/8,gamma-Hexachlorocyclohexane,0
1999/1/27,"p,p-DDT",0.26
1999/2/20,"p,p-DDT",0.05
1999/3/19,"p,p-DDT",0.23
1999/5/27,"p,p-DDT",0
1999/6/22,"p,p-DDT",0
1999/7/24,"p,p-DDT",0.02
1999/8/30,"p,p-DDT",0.16
1999/9/18,"p,p-DDT",0.18
1999/10/22,"p,p-DDT",0.48
1999/11/20,"p,p-DDT",1.86
1999/12/10,"p,p-DDT",0.24
2000/1/15,"p,p-DDT",0.01
2000/2/19,"p,p-DDT",0.01
2000/3/19,"p,p-DDT",0.01
2000/4/29,"p,p-DDT",0.04
2000/5/27,"p,p-DDT",0.02
2000/6/26,"p,p-DDT",0.3
2001/1/17,"p,p-DDT",0.32
2001/2/18,"p,p-DDT",0.08
2001/3/31,"p,p-DDT",0.35
2001/4/29,"p,p-DDT",0.12
2001/5/28,"p,p-DDT",0.2
2001/6/21,"p,p-DDT",0.15
2001/11/18,"p,p-DDT",0.03
2002/3/29,"p,p-DDT",0.01
2002/5/18,"p,p-DDT",0.01
2002/6/22,"p,p-DDT",0
2002/10/15,"p,p-DDT",0
2002/10/26,"p,p-DDT",0
2003/3/30,"p,p-DDT",0.045
2003/8/15,"p,p-DDT",0.001
2004/5/30,"p,p-DDT",0.013
2005/2/20,"p,p-DDT",0
2005/3/24,"p,p-DDT",0.026
2005/4/24,"p,p-DDT",0
2005/5/29,"p,p-DDT",0
2005/6/21,"p,p-DDT",0
2005/7/24,"p,p-DDT",0
2005/8/26,"p,p-DDT",0
2005/9/24,"p,p-DDT",0
2005/11/24,"p,p-DDT",0
2006/2/25,"p,p-DDT",0.021
2006/3/23,"p,p-DDT",0.084
2006/6/25,"p,p-DDT",0.02
2006/7/16,"p,p-DDT",0.154
2006/8/13,"p,p-DDT",0.034
2006/9/22,"p,p-DDT",0.01
2006/10/6,"p,p-DDT",0.025
2006/11/22,"p,p-DDT",0.047
2006/12/13,"p,p-DDT",0.017
2007/1/24,"p,p-DDT",0.035
2007/2/22,"p,p-DDT",0.01
2007/3/28,"p,p-DDT",0.021
2007/4/20,"p,p-DDT",0.01
2007/5/26,"p,p-DDT",0.01
2007/6/23,"p,p-DDT",0.02
2007/7/25,"p,p-DDT",0.014
2007/8/25,"p,p-DDT",0.025
2007/9/29,"p,p-DDT",0.012
2007/10/26,"p,p-DDT",0.055
2007/11/28,"p,p-DDT",0.01
2007/12/22,"p,p-DDT",0.01
2008/5/3,"p,p-DDT",0.01
2008/5/30,"p,p-DDT",0.02
2008/6/26,"p,p-DDT",0.0055
2008/7/12,"p,p-DDT",0.01
2008/8/11,"p,p-DDT",0.0055
2008/9/21,"p,p-DDT",0.0055
2008/10/19,"p,p-DDT",0.01
2008/11/17,"p,p-DDT",0.01
2008/12/5,"p,p-DDT",0.01
2008/12/15,"p,p-DDT",0.0055
2009/1/24,"p,p-DDT",0.02
2009/2/14,"p,p-DDT",0.02
2009/3/27,"p,p-DDT",0.015
2009/4/25,"p,p-DDT",0.015
2009/5/25,"p,p-DDT",0.02
2009/6/28,"p,p-DDT",0.02
2009/7/26,"p,p-DDT",0.03
2009/8/28,"p,p-DDT",0.02
2009/9/25,"p,p-DDT",0.055
2009/10/30,"p,p-DDT",0.055
2010/4/18,"p,p-DDT",0.05
2010/6/13,"p,p-DDT",0.05
2012/2/18,"p,p-DDT",0
2013/2/16,"p,p-DDT",0
2013/3/24,"p,p-DDT",0
2013/8/8,"p,p-DDT",0
2013/9/26,"p,p-DDT",0
2013/11/17,"p,p-DDT",0
2013/12/9,"p,p-DDT",0
2014/1/24,"p,p-DDT",0
2014/3/12,"p,p-DDT",0
2014/3/15,"p,p-DDT",0
2014/4/18,"p,p-DDT",0
2014/5/14,"p,p-DDT",0
2014/6/5,"p,p-DDT",0
2014/8/9,"p,p-DDT",0
2014/9/18,"p,p-DDT",0
2014/10/10,"p,p-DDT",0
2014/11/2,"p,p-DDT",0
2014/12/6,"p,p-DDT",0
2015/1/16,"p,p-DDT",0
2015/3/15,"p,p-DDT",0
2015/4/10,"p,p-DDT",0
2015/5/10,"p,p-DDT",0
2015/6/6,"p,p-DDT",0
2015/7/12,"p,p-DDT",0
2015/9/9,"p,p-DDT",0
2015/9/22,"p,p-DDT",0
2015/12/9,"p,p-DDT",0
2016/1/14,"p,p-DDT",0
2016/2/6,"p,p-DDT",0
2016/3/11,"p,p-DDT",0
2016/4/8,"p,p-DDT",0
2016/5/14,"p,p-DDT",0
2016/6/16,"p,p-DDT",0
2016/7/14,"p,p-DDT",0
2016/8/11,"p,p-DDT",0
2016/9/9,"p,p-DDT",0
2016/10/15,"p,p-DDT",0
2016/11/12,"p,p-DDT",0
2016/12/8,"p,p-DDT",0
