Chemical,Monitor,reading,direction,Date
Methylosmolene,5,0.300778,203.3,2016/4/1 3:00
Appluimonia,1,0.288575,203.3,2016/4/1 3:00
AGOC-3A,2,0.280231,203.3,2016/4/1 3:00
Appluimonia,4,0.26598,203.3,2016/4/1 3:00
Appluimonia,3,0.26131,203.3,2016/4/1 3:00
Methylosmolene,4,0.246773,203.3,2016/4/1 3:00
AGOC-3A,5,0.242014,203.3,2016/4/1 3:00
AGOC-3A,9,0.198875,203.3,2016/4/1 3:00
AGOC-3A,4,0.15624,203.3,2016/4/1 3:00
Methylosmolene,2,0.124396,203.3,2016/4/1 3:00
AGOC-3A,1,0.0895294,203.3,2016/4/1 3:00
Methylosmolene,7,0.0808523,203.3,2016/4/1 3:00
Chlorodinine,2,0.0622761,203.3,2016/4/1 3:00
Chlorodinine,5,0.0587969,203.3,2016/4/1 3:00
AGOC-3A,3,0.0585907,203.3,2016/4/1 3:00
Methylosmolene,3,0.0347694,203.3,2016/4/1 3:00
Chlorodinine,7,0.0144352,203.3,2016/4/1 3:00
Chlorodinine,3,1.1394,203.3,2016/4/1 4:00
Chlorodinine,7,1.03067,203.3,2016/4/1 4:00
AGOC-3A,7,0.856971,203.3,2016/4/1 4:00
Appluimonia,9,0.734143,203.3,2016/4/1 4:00
AGOC-3A,2,0.714903,203.3,2016/4/1 4:00
Methylosmolene,3,0.667903,203.3,2016/4/1 4:00
Methylosmolene,2,0.641762,203.3,2016/4/1 4:00
Appluimonia,3,0.636766,203.3,2016/4/1 4:00
AGOC-3A,1,0.618398,203.3,2016/4/1 4:00
AGOC-3A,8,0.523747,203.3,2016/4/1 4:00
AGOC-3A,3,0.51271,203.3,2016/4/1 4:00
AGOC-3A,6,0.4967,203.3,2016/4/1 4:00
Methylosmolene,5,0.476344,203.3,2016/4/1 4:00
Chlorodinine,6,0.405011,203.3,2016/4/1 4:00
Chlorodinine,4,0.390987,203.3,2016/4/1 4:00
AGOC-3A,4,0.375753,203.3,2016/4/1 4:00
AGOC-3A,5,0.371454,203.3,2016/4/1 4:00
Appluimonia,1,0.33195,203.3,2016/4/1 4:00
Chlorodinine,8,0.320612,203.3,2016/4/1 4:00
Methylosmolene,6,0.313513,203.3,2016/4/1 4:00
Methylosmolene,7,0.312161,203.3,2016/4/1 4:00
Chlorodinine,2,0.299912,203.3,2016/4/1 4:00
Methylosmolene,1,0.284877,203.3,2016/4/1 4:00
Methylosmolene,4,0.281923,203.3,2016/4/1 4:00
AGOC-3A,9,0.25342,203.3,2016/4/1 4:00
Appluimonia,5,0.246868,203.3,2016/4/1 4:00
Appluimonia,7,0.168924,203.3,2016/4/1 4:00
Appluimonia,2,0.146269,203.3,2016/4/1 4:00
Appluimonia,8,0.129247,203.3,2016/4/1 4:00
Chlorodinine,9,0.127112,203.3,2016/4/1 4:00
Appluimonia,4,0.119788,203.3,2016/4/1 4:00
Chlorodinine,1,0.117581,203.3,2016/4/1 4:00
Methylosmolene,8,0.0899369,203.3,2016/4/1 4:00
Methylosmolene,9,0.0559182,203.3,2016/4/1 4:00
Chlorodinine,5,0.033643,203.3,2016/4/1 4:00
Appluimonia,6,0.0296883,203.3,2016/4/1 4:00
Chlorodinine,3,2.79331,201.1,2016/4/1 5:00
AGOC-3A,8,1.03184,201.1,2016/4/1 5:00
Methylosmolene,1,0.989826,201.1,2016/4/1 5:00
Methylosmolene,3,0.916534,201.1,2016/4/1 5:00
AGOC-3A,3,0.69974,201.1,2016/4/1 5:00
Appluimonia,3,0.664029,201.1,2016/4/1 5:00
Chlorodinine,8,0.649797,201.1,2016/4/1 5:00
Chlorodinine,7,0.512425,201.1,2016/4/1 5:00
Chlorodinine,4,0.446033,201.1,2016/4/1 5:00
Appluimonia,8,0.421384,201.1,2016/4/1 5:00
Chlorodinine,9,0.378493,201.1,2016/4/1 5:00
Methylosmolene,9,0.367007,201.1,2016/4/1 5:00
Methylosmolene,6,0.36684,201.1,2016/4/1 5:00
AGOC-3A,1,0.294556,201.1,2016/4/1 5:00
Appluimonia,2,0.285482,201.1,2016/4/1 5:00
Methylosmolene,4,0.28066,201.1,2016/4/1 5:00
Appluimonia,4,0.271384,201.1,2016/4/1 5:00
Methylosmolene,5,0.259023,201.1,2016/4/1 5:00
Appluimonia,7,0.256853,201.1,2016/4/1 5:00
Appluimonia,9,0.253563,201.1,2016/4/1 5:00
AGOC-3A,2,0.252217,201.1,2016/4/1 5:00
AGOC-3A,5,0.238353,201.1,2016/4/1 5:00
AGOC-3A,6,0.209591,201.1,2016/4/1 5:00
Methylosmolene,7,0.195448,201.1,2016/4/1 5:00
Chlorodinine,5,0.168359,201.1,2016/4/1 5:00
Chlorodinine,6,0.148461,201.1,2016/4/1 5:00
Appluimonia,5,0.147356,201.1,2016/4/1 5:00
Chlorodinine,2,0.138576,201.1,2016/4/1 5:00
AGOC-3A,7,0.116403,201.1,2016/4/1 5:00
Chlorodinine,1,0.108269,201.1,2016/4/1 5:00
Appluimonia,6,0.0518588,201.1,2016/4/1 5:00
Appluimonia,1,0.0388837,201.1,2016/4/1 5:00
AGOC-3A,9,0.0318543,201.1,2016/4/1 5:00
Methylosmolene,2,0.0203157,201.1,2016/4/1 5:00
Methylosmolene,8,0.00622426,201.1,2016/4/1 5:00
AGOC-3A,4,0.00241546,201.1,2016/4/1 5:00
Chlorodinine,3,3.94462,201.1,2016/4/1 6:00
AGOC-3A,7,3.81396,201.1,2016/4/1 6:00
Methylosmolene,3,2.05302,201.1,2016/4/1 6:00
Appluimonia,7,0.969027,201.1,2016/4/1 6:00
Methylosmolene,7,0.940167,201.1,2016/4/1 6:00
AGOC-3A,3,0.822506,201.1,2016/4/1 6:00
Appluimonia,6,0.78524,201.1,2016/4/1 6:00
Chlorodinine,6,0.734936,201.1,2016/4/1 6:00
Chlorodinine,8,0.681112,201.1,2016/4/1 6:00
Appluimonia,2,0.678525,201.1,2016/4/1 6:00
Methylosmolene,8,0.673679,201.1,2016/4/1 6:00
Chlorodinine,9,0.590046,201.1,2016/4/1 6:00
Appluimonia,3,0.552638,201.1,2016/4/1 6:00
AGOC-3A,6,0.537672,201.1,2016/4/1 6:00
Chlorodinine,2,0.524311,201.1,2016/4/1 6:00
Methylosmolene,2,0.378806,201.1,2016/4/1 6:00
AGOC-3A,9,0.361752,201.1,2016/4/1 6:00
AGOC-3A,8,0.348775,201.1,2016/4/1 6:00
Methylosmolene,4,0.329487,201.1,2016/4/1 6:00
Chlorodinine,1,0.32179,201.1,2016/4/1 6:00
Methylosmolene,1,0.250966,201.1,2016/4/1 6:00
Chlorodinine,4,0.249135,201.1,2016/4/1 6:00
AGOC-3A,4,0.2396,201.1,2016/4/1 6:00
Appluimonia,8,0.225316,201.1,2016/4/1 6:00
AGOC-3A,1,0.210431,201.1,2016/4/1 6:00
AGOC-3A,2,0.171442,201.1,2016/4/1 6:00
Methylosmolene,5,0.167723,201.1,2016/4/1 6:00
Methylosmolene,9,0.148385,201.1,2016/4/1 6:00
Methylosmolene,6,0.126295,201.1,2016/4/1 6:00
Appluimonia,5,0.105537,201.1,2016/4/1 6:00
Appluimonia,4,0.104948,201.1,2016/4/1 6:00
Appluimonia,9,0.0848154,201.1,2016/4/1 6:00
AGOC-3A,5,0.0686394,201.1,2016/4/1 6:00
Chlorodinine,7,0.0627053,201.1,2016/4/1 6:00
Chlorodinine,5,0.0278427,201.1,2016/4/1 6:00
Appluimonia,1,0.0228912,201.1,2016/4/1 6:00
AGOC-3A,3,4.78659,201.1,2016/4/1 7:00
Chlorodinine,3,3.35156,201.1,2016/4/1 7:00
AGOC-3A,8,1.02109,201.1,2016/4/1 7:00
Chlorodinine,8,0.946475,201.1,2016/4/1 7:00
Appluimonia,6,0.874363,201.1,2016/4/1 7:00
Appluimonia,2,0.638567,201.1,2016/4/1 7:00
Methylosmolene,6,0.602402,201.1,2016/4/1 7:00
Chlorodinine,6,0.544958,201.1,2016/4/1 7:00
Chlorodinine,2,0.542413,201.1,2016/4/1 7:00
Methylosmolene,4,0.502477,201.1,2016/4/1 7:00
Appluimonia,3,0.452319,201.1,2016/4/1 7:00
AGOC-3A,7,0.426199,201.1,2016/4/1 7:00
Appluimonia,8,0.421081,201.1,2016/4/1 7:00
Appluimonia,7,0.386387,201.1,2016/4/1 7:00
Methylosmolene,5,0.386002,201.1,2016/4/1 7:00
Methylosmolene,3,0.375589,201.1,2016/4/1 7:00
Chlorodinine,5,0.343747,201.1,2016/4/1 7:00
Chlorodinine,7,0.333749,201.1,2016/4/1 7:00
AGOC-3A,1,0.271824,201.1,2016/4/1 7:00
Appluimonia,9,0.268262,201.1,2016/4/1 7:00
Methylosmolene,9,0.268067,201.1,2016/4/1 7:00
Methylosmolene,2,0.221445,201.1,2016/4/1 7:00
Chlorodinine,9,0.213374,201.1,2016/4/1 7:00
Chlorodinine,1,0.188189,201.1,2016/4/1 7:00
AGOC-3A,4,0.170572,201.1,2016/4/1 7:00
AGOC-3A,5,0.155064,201.1,2016/4/1 7:00
AGOC-3A,2,0.0958847,201.1,2016/4/1 7:00
Methylosmolene,7,0.0929588,201.1,2016/4/1 7:00
Appluimonia,5,0.089142,201.1,2016/4/1 7:00
Methylosmolene,1,0.072075,201.1,2016/4/1 7:00
Methylosmolene,8,0.0330591,201.1,2016/4/1 7:00
AGOC-3A,9,0.0320344,201.1,2016/4/1 7:00
Appluimonia,4,0.025392,201.1,2016/4/1 7:00
AGOC-3A,6,0.0231199,201.1,2016/4/1 7:00
Chlorodinine,4,0.0142187,201.1,2016/4/1 7:00
Appluimonia,1,0.0100301,201.1,2016/4/1 7:00
Chlorodinine,3,3.83947,204.9,2016/4/1 8:00
Appluimonia,3,2.10568,204.9,2016/4/1 8:00
AGOC-3A,3,1.61156,204.9,2016/4/1 8:00
Appluimonia,8,1.23009,204.9,2016/4/1 8:00
Methylosmolene,3,0.917269,204.9,2016/4/1 8:00
Appluimonia,6,0.69624,204.9,2016/4/1 8:00
Chlorodinine,6,0.690937,204.9,2016/4/1 8:00
Methylosmolene,2,0.553491,204.9,2016/4/1 8:00
AGOC-3A,6,0.545655,204.9,2016/4/1 8:00
Appluimonia,7,0.521752,204.9,2016/4/1 8:00
Chlorodinine,8,0.521053,204.9,2016/4/1 8:00
Appluimonia,2,0.476664,204.9,2016/4/1 8:00
AGOC-3A,7,0.451286,204.9,2016/4/1 8:00
Appluimonia,9,0.419446,204.9,2016/4/1 8:00
Chlorodinine,1,0.380071,204.9,2016/4/1 8:00
Appluimonia,1,0.366206,204.9,2016/4/1 8:00
Chlorodinine,2,0.349802,204.9,2016/4/1 8:00
Appluimonia,4,0.340732,204.9,2016/4/1 8:00
Chlorodinine,9,0.331285,204.9,2016/4/1 8:00
Chlorodinine,5,0.306871,204.9,2016/4/1 8:00
Methylosmolene,1,0.292984,204.9,2016/4/1 8:00
AGOC-3A,2,0.285264,204.9,2016/4/1 8:00
Methylosmolene,9,0.263384,204.9,2016/4/1 8:00
Appluimonia,5,0.246648,204.9,2016/4/1 8:00
Chlorodinine,7,0.202865,204.9,2016/4/1 8:00
Methylosmolene,5,0.177531,204.9,2016/4/1 8:00
Methylosmolene,6,0.169993,204.9,2016/4/1 8:00
Methylosmolene,4,0.165458,204.9,2016/4/1 8:00
AGOC-3A,4,0.1416,204.9,2016/4/1 8:00
Methylosmolene,7,0.129355,204.9,2016/4/1 8:00
Chlorodinine,4,0.112167,204.9,2016/4/1 8:00
AGOC-3A,9,0.0810158,204.9,2016/4/1 8:00
AGOC-3A,5,0.071417,204.9,2016/4/1 8:00
AGOC-3A,1,0.0343286,204.9,2016/4/1 8:00
Methylosmolene,8,0.024255,204.9,2016/4/1 8:00
AGOC-3A,8,0.0133735,204.9,2016/4/1 8:00
Methylosmolene,3,1.90111,204.9,2016/4/1 9:00
Appluimonia,3,1.78909,204.9,2016/4/1 9:00
Appluimonia,7,0.915939,204.9,2016/4/1 9:00
Chlorodinine,2,0.71666,204.9,2016/4/1 9:00
Methylosmolene,7,0.714198,204.9,2016/4/1 9:00
Chlorodinine,7,0.659626,204.9,2016/4/1 9:00
Chlorodinine,3,0.655028,204.9,2016/4/1 9:00
AGOC-3A,7,0.639886,204.9,2016/4/1 9:00
Methylosmolene,6,0.601663,204.9,2016/4/1 9:00
Appluimonia,2,0.586124,204.9,2016/4/1 9:00
AGOC-3A,3,0.544795,204.9,2016/4/1 9:00
Methylosmolene,4,0.522087,204.9,2016/4/1 9:00
Methylosmolene,2,0.474724,204.9,2016/4/1 9:00
Appluimonia,8,0.451534,204.9,2016/4/1 9:00
AGOC-3A,6,0.407047,204.9,2016/4/1 9:00
Appluimonia,9,0.37218,204.9,2016/4/1 9:00
AGOC-3A,8,0.307569,204.9,2016/4/1 9:00
Methylosmolene,8,0.304597,204.9,2016/4/1 9:00
Appluimonia,1,0.300466,204.9,2016/4/1 9:00
Chlorodinine,4,0.288103,204.9,2016/4/1 9:00
Appluimonia,6,0.274487,204.9,2016/4/1 9:00
AGOC-3A,1,0.270683,204.9,2016/4/1 9:00
AGOC-3A,9,0.230418,204.9,2016/4/1 9:00
Appluimonia,5,0.217195,204.9,2016/4/1 9:00
Chlorodinine,1,0.204093,204.9,2016/4/1 9:00
AGOC-3A,2,0.201245,204.9,2016/4/1 9:00
AGOC-3A,4,0.201125,204.9,2016/4/1 9:00
Chlorodinine,6,0.199124,204.9,2016/4/1 9:00
Methylosmolene,9,0.126885,204.9,2016/4/1 9:00
Chlorodinine,9,0.10603,204.9,2016/4/1 9:00
Methylosmolene,1,0.0988394,204.9,2016/4/1 9:00
Chlorodinine,8,0.0948834,204.9,2016/4/1 9:00
Chlorodinine,5,0.0700218,204.9,2016/4/1 9:00
AGOC-3A,5,0.0455874,204.9,2016/4/1 9:00
Methylosmolene,5,0.0419438,204.9,2016/4/1 9:00
Appluimonia,4,0.041054,204.9,2016/4/1 9:00
Methylosmolene,6,0.786521,204.9,2016/4/1 10:00
AGOC-3A,3,0.772321,204.9,2016/4/1 10:00
Methylosmolene,8,0.756304,204.9,2016/4/1 10:00
Chlorodinine,8,0.726825,204.9,2016/4/1 10:00
Methylosmolene,3,0.670043,204.9,2016/4/1 10:00
Appluimonia,7,0.657709,204.9,2016/4/1 10:00
Chlorodinine,3,0.572236,204.9,2016/4/1 10:00
AGOC-3A,6,0.565408,204.9,2016/4/1 10:00
Chlorodinine,7,0.483525,204.9,2016/4/1 10:00
Methylosmolene,1,0.457522,204.9,2016/4/1 10:00
AGOC-3A,5,0.44956,204.9,2016/4/1 10:00
Chlorodinine,6,0.417886,204.9,2016/4/1 10:00
Appluimonia,4,0.384311,204.9,2016/4/1 10:00
Chlorodinine,1,0.374429,204.9,2016/4/1 10:00
Methylosmolene,9,0.337672,204.9,2016/4/1 10:00
Appluimonia,3,0.332215,204.9,2016/4/1 10:00
Appluimonia,5,0.326147,204.9,2016/4/1 10:00
Appluimonia,9,0.304952,204.9,2016/4/1 10:00
Appluimonia,2,0.289997,204.9,2016/4/1 10:00
Chlorodinine,2,0.274667,204.9,2016/4/1 10:00
AGOC-3A,9,0.271139,204.9,2016/4/1 10:00
Appluimonia,1,0.268343,204.9,2016/4/1 10:00
AGOC-3A,8,0.24401,204.9,2016/4/1 10:00
Methylosmolene,7,0.218184,204.9,2016/4/1 10:00
AGOC-3A,2,0.200995,204.9,2016/4/1 10:00
Chlorodinine,5,0.192601,204.9,2016/4/1 10:00
Appluimonia,8,0.183642,204.9,2016/4/1 10:00
Methylosmolene,5,0.163966,204.9,2016/4/1 10:00
AGOC-3A,4,0.162566,204.9,2016/4/1 10:00
Appluimonia,6,0.156522,204.9,2016/4/1 10:00
AGOC-3A,7,0.152753,204.9,2016/4/1 10:00
Methylosmolene,4,0.141456,204.9,2016/4/1 10:00
Chlorodinine,4,0.128094,204.9,2016/4/1 10:00
Chlorodinine,9,0.057487,204.9,2016/4/1 10:00
AGOC-3A,1,0.0251836,204.9,2016/4/1 10:00
Methylosmolene,2,0.00298162,204.9,2016/4/1 10:00
Methylosmolene,3,4.39846,207,2016/4/1 11:00
Appluimonia,3,1.02831,207,2016/4/1 11:00
AGOC-3A,3,0.967785,207,2016/4/1 11:00
Methylosmolene,8,0.87337,207,2016/4/1 11:00
Methylosmolene,7,0.854138,207,2016/4/1 11:00
Appluimonia,8,0.78212,207,2016/4/1 11:00
Methylosmolene,9,0.773302,207,2016/4/1 11:00
Chlorodinine,3,0.70332,207,2016/4/1 11:00
Chlorodinine,6,0.559303,207,2016/4/1 11:00
AGOC-3A,9,0.502717,207,2016/4/1 11:00
Appluimonia,7,0.453267,207,2016/4/1 11:00
AGOC-3A,6,0.430635,207,2016/4/1 11:00
Appluimonia,5,0.42455,207,2016/4/1 11:00
Appluimonia,6,0.404981,207,2016/4/1 11:00
Chlorodinine,1,0.392052,207,2016/4/1 11:00
Methylosmolene,6,0.29769,207,2016/4/1 11:00
Methylosmolene,4,0.259342,207,2016/4/1 11:00
Methylosmolene,2,0.242137,207,2016/4/1 11:00
Chlorodinine,9,0.241334,207,2016/4/1 11:00
Chlorodinine,4,0.234759,207,2016/4/1 11:00
Chlorodinine,2,0.229816,207,2016/4/1 11:00
Methylosmolene,1,0.228423,207,2016/4/1 11:00
Chlorodinine,7,0.227113,207,2016/4/1 11:00
AGOC-3A,5,0.18658,207,2016/4/1 11:00
AGOC-3A,4,0.171654,207,2016/4/1 11:00
Chlorodinine,8,0.16321,207,2016/4/1 11:00
Appluimonia,2,0.150965,207,2016/4/1 11:00
Methylosmolene,5,0.143529,207,2016/4/1 11:00
Appluimonia,1,0.132435,207,2016/4/1 11:00
Appluimonia,9,0.120384,207,2016/4/1 11:00
AGOC-3A,2,0.11802,207,2016/4/1 11:00
AGOC-3A,1,0.0669641,207,2016/4/1 11:00
AGOC-3A,8,0.0666572,207,2016/4/1 11:00
Appluimonia,4,0.036502,207,2016/4/1 11:00
Chlorodinine,5,0.025848,207,2016/4/1 11:00
AGOC-3A,7,0.0143858,207,2016/4/1 11:00
Methylosmolene,3,2.97161,207,2016/4/1 12:00
Methylosmolene,7,1.9822,207,2016/4/1 12:00
Chlorodinine,3,0.833999,207,2016/4/1 12:00
AGOC-3A,2,0.81394,207,2016/4/1 12:00
Chlorodinine,7,0.672943,207,2016/4/1 12:00
Appluimonia,8,0.555826,207,2016/4/1 12:00
Chlorodinine,4,0.496377,207,2016/4/1 12:00
AGOC-3A,1,0.469625,207,2016/4/1 12:00
AGOC-3A,7,0.435586,207,2016/4/1 12:00
Appluimonia,7,0.417883,207,2016/4/1 12:00
Appluimonia,3,0.399123,207,2016/4/1 12:00
AGOC-3A,5,0.396962,207,2016/4/1 12:00
Appluimonia,6,0.387515,207,2016/4/1 12:00
Methylosmolene,1,0.357148,207,2016/4/1 12:00
Chlorodinine,5,0.346274,207,2016/4/1 12:00
Chlorodinine,8,0.275282,207,2016/4/1 12:00
Methylosmolene,4,0.268327,207,2016/4/1 12:00
Chlorodinine,6,0.264588,207,2016/4/1 12:00
Appluimonia,9,0.236189,207,2016/4/1 12:00
Chlorodinine,1,0.233285,207,2016/4/1 12:00
Appluimonia,4,0.229907,207,2016/4/1 12:00
Methylosmolene,6,0.213574,207,2016/4/1 12:00
Methylosmolene,5,0.208672,207,2016/4/1 12:00
Chlorodinine,2,0.203687,207,2016/4/1 12:00
Chlorodinine,9,0.192999,207,2016/4/1 12:00
AGOC-3A,8,0.189639,207,2016/4/1 12:00
AGOC-3A,3,0.165788,207,2016/4/1 12:00
Appluimonia,2,0.127155,207,2016/4/1 12:00
Methylosmolene,2,0.10236,207,2016/4/1 12:00
AGOC-3A,4,0.0969047,207,2016/4/1 12:00
AGOC-3A,9,0.0870258,207,2016/4/1 12:00
Methylosmolene,8,0.0784863,207,2016/4/1 12:00
Appluimonia,5,0.0766411,207,2016/4/1 12:00
Methylosmolene,9,0.0730682,207,2016/4/1 12:00
AGOC-3A,6,0.0475963,207,2016/4/1 12:00
Appluimonia,1,0.032094,207,2016/4/1 12:00
AGOC-3A,7,2.9472,207,2016/4/1 13:00
Chlorodinine,3,1.90125,207,2016/4/1 13:00
Methylosmolene,7,1.60229,207,2016/4/1 13:00
Methylosmolene,3,1.52117,207,2016/4/1 13:00
Chlorodinine,8,0.885737,207,2016/4/1 13:00
Appluimonia,7,0.829324,207,2016/4/1 13:00
Chlorodinine,7,0.819536,207,2016/4/1 13:00
Methylosmolene,8,0.742678,207,2016/4/1 13:00
